player,team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,PPG
John Henson,MIL,67,18.3,2.9,5.2,.566,0.0,0.0,.000,1.2,2.0,.569,1.3,2.3,1.9,2.8,4.7,0.9,0.4,7.0
Austin Rivers,LAC,76,20.6,2.7,6.5,.409,0.5,1.7,.298,1.1,1.7,.675,0.9,1.9,0.4,1.6,2.0,2.0,0.6,7.0
Cory Joseph,SAS,79,18.3,2.6,5.2,.504,0.2,0.6,.364,1.3,1.8,.734,0.8,1.3,0.6,1.9,2.4,2.4,0.6,6.8
Brian Roberts,CHA,72,18.5,2.4,6.3,.389,0.9,2.7,.321,0.9,1.0,.892,0.8,1.0,0.2,1.3,1.5,2.2,0.5,6.7
Aron Baynes,SAS,70,16.0,2.6,4.7,.566,0.0,0.1,.250,1.3,1.5,.865,0.9,2.3,1.6,3.0,4.5,0.5,0.2,6.6
Kevin Seraphin,WAS,79,15.6,2.9,5.7,.513,0.0,0.0,.000,0.7,1.0,.707,1.2,2.5,1.1,2.5,3.6,0.7,0.1,6.6
Alexis Ajinca,NOP,68,14.1,2.7,4.8,.550,0.0,0.0,.000,1.2,1.5,.818,1.0,2.2,1.5,3.1,4.6,0.7,0.3,6.5
Anthony Tolliver,DET,76,18.9,2.1,5.2,.410,1.4,3.8,.366,0.7,0.9,.783,0.7,1.8,0.7,2.4,3.1,0.8,0.3,6.3
Andrew Bogut,GSW,67,23.6,3.0,5.3,.563,0.0,0.0,.000,0.3,0.6,.524,1.6,2.8,2.1,6.0,8.1,2.7,0.6,6.3
Ramon Sessions,WAS,64,18.6,2.0,5.2,.374,0.3,0.9,.317,2.1,2.7,.769,1.3,1.1,0.4,1.9,2.2,2.8,0.5,6.3
Shane Larkin,NYK,76,24.5,2.5,5.7,.433,0.5,1.5,.302,0.8,1.0,.782,1.1,2.0,0.4,1.9,2.3,3.0,1.2,6.2
Jason Thompson,SAC,81,24.6,2.5,5.3,.470,0.0,0.0,.000,1.1,1.8,.622,1.0,3.0,1.7,4.8,6.5,1.0,0.4,6.1
Tony Snell,CHI,72,19.6,2.2,5.2,.429,1.0,2.7,.371,0.6,0.8,.800,0.7,1.2,0.4,2.0,2.4,0.9,0.4,6.0
Otto Porter,WAS,74,19.4,2.4,5.3,.450,0.5,1.4,.337,0.8,1.1,.734,0.7,1.3,0.9,2.0,3.0,0.9,0.6,6.0
Kyle Singler,OKC,80,21.8,2.1,5.6,.386,1.2,3.0,.398,0.5,0.7,.769,0.7,1.9,0.4,2.0,2.4,1.1,0.6,6.0
Jonas Jerebko,BOS,75,16.4,2.3,5.1,.446,0.7,1.9,.386,0.7,0.9,.848,0.6,1.8,1.2,2.5,3.8,0.9,0.6,6.0
Shaun Livingston,GSW,78,18.8,2.5,5.1,.500,0.0,0.0,.000,0.8,1.2,.714,1.3,1.4,0.6,1.8,2.3,3.3,0.6,5.9
Caron Butler,DET,78,20.8,2.1,5.1,.407,1.1,2.8,.379,0.7,0.8,.902,0.6,1.5,0.3,2.2,2.5,1.0,0.6,5.9
